timestamp,graph_type,place_name or coordinates,odtc_time,odtc_central_nodes_count,total_origin_nodes,total_dest_nodes,total_odtc_nodes,tc_time,tc_central_nodes_count,total_tc_nodes
2025-02-21T23:08:08.018656,Grid,"Sampaloc, Manila",2.3719,38,58,123,628,5.5537,33,628
2025-02-21T23:08:21.335737,Grid,"Sampaloc, Manila",2.3751,38,58,123,628,5.5273,33,628
2025-02-21T23:08:34.605057,Grid,"Sampaloc, Manila",2.3745,38,58,123,628,5.5206,33,628
2025-02-21T23:08:47.900584,Grid,"Sampaloc, Manila",2.3734,38,58,123,628,5.5222,33,628
2025-02-21T23:09:01.136916,Grid,"Sampaloc, Manila",2.3682,38,58,123,628,5.4979,33,628
2025-02-21T23:09:14.381830,Grid,"Sampaloc, Manila",2.3794,38,58,123,628,5.5094,33,628
2025-02-21T23:09:27.595619,Grid,"Sampaloc, Manila",2.3558,38,58,123,628,5.5058,33,628
2025-02-21T23:09:40.933522,Grid,"Sampaloc, Manila",2.3673,38,58,123,628,5.5825,33,628
2025-02-21T23:09:54.200020,Grid,"Sampaloc, Manila",2.3717,38,58,123,628,5.5416,33,628
2025-02-21T23:10:07.428751,Grid,"Sampaloc, Manila",2.3735,38,58,123,628,5.5126,33,628
2025-02-21T23:10:20.671113,Grid,"Sampaloc, Manila",2.357,38,58,123,628,5.5693,33,628
2025-02-21T23:10:33.918908,Grid,"Sampaloc, Manila",2.3765,38,58,123,628,5.5851,33,628
2025-02-21T23:10:47.103594,Grid,"Sampaloc, Manila",2.3785,38,58,123,628,5.5158,33,628
2025-02-21T23:11:00.401668,Grid,"Sampaloc, Manila",2.3679,38,58,123,628,5.5526,33,628
2025-02-21T23:11:13.638295,Grid,"Sampaloc, Manila",2.3668,38,58,123,628,5.5007,33,628
2025-02-21T23:11:26.920155,Grid,"Sampaloc, Manila",2.3599,38,58,123,628,5.5518,33,628
2025-02-21T23:11:40.216408,Grid,"Sampaloc, Manila",2.3803,38,58,123,628,5.5541,33,628
2025-02-21T23:11:53.467132,Grid,"Sampaloc, Manila",2.3823,38,58,123,628,5.5153,33,628
